source_family	source_id	source_date	source_amount	reason_code	reason_text	recommended_action
maintenance_receipts	1914	2020-08-08	2200.00	mixed_family	Financial receipt #1914 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	2257	2020-08-11	7500.00	mixed_family	Financial receipt #2257 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	1660	2020-10-03	9900.00	mixed_family	Financial invoice #10909 contains multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4039	2020-10-05	4500.00	mixed_family	Financial invoice #10909 contains multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	5372	2020-12-02	11200.00	mixed_family	Financial receipt #5372 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	6256	2020-12-02	13200.00	mixed_family	Financial receipt #6256 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	574	2020-12-03	9900.00	mixed_family	Financial invoice #16380 contains multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	5509	2020-12-03	7500.00	mixed_family	Financial receipt #5509 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3275	2021-03-14	66554.00	mixed_family	Financial receipt #3275 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3277	2021-03-15	51610.00	mixed_family	Financial receipt #3277 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3303	2021-03-28	11114.00	mixed_family	Financial receipt #3303 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3406	2021-04-06	115820.00	mixed_family	Financial receipt #3406 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3549	2021-05-20	15000.00	mixed_family	Financial receipt #3549 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	11372	2021-05-27	124673.00	mixed_family	Financial receipt #11372 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3575	2021-06-01	10329.00	mixed_family	Financial receipt #3575 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3573	2021-06-02	36459.00	mixed_family	Financial receipt #3573 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	11354	2021-06-02	34582.00	mixed_family	Financial receipt #11354 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	11073	2021-06-05	41747.00	mixed_family	Financial receipt #11073 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3598	2021-06-06	18000.00	mixed_family	Financial receipt #3598 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3610	2021-06-07	0.00	mixed_family	Financial receipt #3610 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3624	2021-06-12	20000.00	mixed_family	Financial receipt #3624 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3655	2021-06-16	19279.00	mixed_family	Financial receipt #3655 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3619	2021-06-17	29492.00	mixed_family	Financial receipt #3619 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3676	2021-06-18	9881.00	mixed_family	Financial receipt #3676 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3693	2021-06-20	8000.00	mixed_family	Financial receipt #3693 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3625	2021-06-23	7592.00	mixed_family	Financial receipt #3625 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3717	2021-06-26	27341.00	mixed_family	Financial receipt #3717 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	11796	2021-06-26	51306.00	mixed_family	Financial receipt #11796 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3728	2021-06-27	9713.00	mixed_family	Financial receipt #3728 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3734	2021-06-27	9309.00	mixed_family	Financial receipt #3734 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3766	2021-07-02	21368.00	mixed_family	Financial receipt #3766 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	11961	2021-07-17	36334.00	mixed_family	Financial receipt #11961 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3694	2021-08-02	56590.00	mixed_family	Financial receipt #3694 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3950	2021-08-07	22506.00	mixed_family	Financial receipt #3950 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3981	2021-08-14	40888.00	mixed_family	Financial receipt #3981 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4011	2021-08-18	10748.00	mixed_family	Financial receipt #4011 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12101	2021-08-21	30000.00	mixed_family	Financial receipt #12101 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4034	2021-08-22	6718.00	mixed_family	Financial invoice #10909 contains multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12113	2021-08-22	25000.00	mixed_family	Financial invoice #10906 contains multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12102	2021-08-23	1837.00	mixed_family	Financial receipt #12102 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12114	2021-08-23	18712.00	mixed_family	Financial invoice #10906 contains multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4072	2021-08-29	30239.00	mixed_family	Financial receipt #4072 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4066	2021-08-30	12780.00	mixed_family	Financial receipt #4066 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4096	2021-08-31	4639.00	mixed_family	Financial invoice #10966 contains multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4088	2021-09-03	18134.00	mixed_family	Financial receipt #4088 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	3599	2021-09-07	6075.00	mixed_family	Financial receipt #3599 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12188	2021-09-17	241044.00	mixed_family	Financial receipt #12188 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4179	2021-09-18	15000.00	mixed_family	Financial receipt #4179 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4180	2021-09-20	15040.00	mixed_family	Financial receipt #4180 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4232	2021-09-28	10268.00	mixed_family	Financial receipt #4232 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4328	2021-10-11	36021.00	mixed_family	Financial receipt #4328 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	4203	2021-10-18	57939.00	mixed_family	Financial receipt #4203 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	26447	2022-01-01	12700.00	mixed_family	Financial receipt #26447 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	27309	2022-01-05	11350.00	mixed_family	Financial receipt #27309 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	24804	2022-01-10	10150.00	mixed_family	Financial receipt #24804 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	24419	2022-01-21	6650.00	mixed_family	Financial receipt #24419 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	24636	2022-01-27	11550.00	mixed_family	Financial receipt #24636 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	24593	2022-02-10	3850.00	mixed_family	Financial receipt #24593 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	24612	2022-03-02	3850.00	mixed_family	Financial receipt #24612 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	30325	2022-03-21	9000.00	mixed_family	Financial receipt #30325 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	27246	2022-04-07	22750.00	mixed_family	Financial receipt #27246 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	24873	2022-05-11	17400.00	mixed_family	Financial receipt #24873 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	22548	2022-05-12	34450.00	mixed_family	Financial receipt #22548 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	30919	2022-05-13	4500.00	mixed_family	Financial receipt #30919 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	32913	2022-05-13	7950.00	mixed_family	Financial receipt #32913 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	27463	2022-05-14	15000.00	mixed_family	Financial receipt #27463 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	27664	2022-05-31	3450.00	mixed_family	Financial receipt #27664 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	27674	2022-06-03	9850.00	mixed_family	Financial receipt #27674 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	27780	2022-06-30	10950.00	mixed_family	Financial receipt #27780 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	32270	2022-07-05	22500.00	mixed_family	Financial receipt #32270 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	34365	2022-07-08	14000.00	mixed_family	Financial receipt #34365 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	35599	2022-07-25	16850.00	mixed_family	Financial receipt #35599 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	26802	2022-08-10	40900.00	mixed_family	Financial receipt #26802 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	27893	2022-08-17	20400.00	mixed_family	Financial receipt #27893 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	33733	2022-08-19	19300.00	mixed_family	Financial receipt #33733 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12392	2022-09-08	19581.00	mixed_family	Financial receipt #12392 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12885	2022-09-29	10000.00	mixed_family	Financial receipt #12885 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12832	2022-10-25	48000.00	mixed_family	Financial receipt #12832 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12833	2022-10-25	24000.00	mixed_family	Financial receipt #12833 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12834	2022-10-27	18814.00	mixed_family	Financial receipt #12834 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	13021	2022-11-04	40000.00	mixed_family	Financial receipt #13021 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	7003	2022-11-18	87929.00	mixed_family	Financial receipt #7003 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	7332	2022-11-27	30915.00	mixed_family	Financial receipt #7332 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	7093	2022-12-17	20000.00	mixed_family	Financial receipt #7093 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	6968	2022-12-28	70784.00	mixed_family	Financial receipt #6968 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	7129	2023-01-02	10569.00	mixed_family	Financial receipt #7129 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	34502	2023-01-05	10000.00	mixed_family	Financial receipt #34502 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	12886	2023-01-07	26869.00	mixed_family	Financial receipt #12886 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	53803	2023-08-05	9200.00	mixed_family	Financial receipt #53803 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	45831	2023-10-03	7800.00	mixed_family	Financial receipt #45831 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	14235	2024-01-29	25000.00	mixed_family	Financial receipt #14235 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	13933	2024-01-31	30000.00	mixed_family	Financial receipt #13933 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	14236	2024-04-29	7000.00	mixed_family	Financial receipt #14236 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	18484	2025-04-23	24000.00	mixed_family	Financial receipt #18484 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	18776	2025-06-12	50000.00	mixed_family	Financial receipt #18776 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	18936	2025-06-28	50000.00	mixed_family	Financial receipt #18936 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	18777	2025-07-24	23131.00	mixed_family	Financial receipt #18777 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
maintenance_receipts	19256	2025-08-15	43679.00	mixed_family	Financial receipt #19256 references multiple accounting families and cannot be auto-posted safely.	Keep unsupported until explicit mixed-family accounting logic exists.
